sphere;name
Геологоразведка;Геолог
Геологоразведка;Геоинформатик
Геологоразведка;Геофизик
Геологоразведка;Геодезист
Геологоразведка;Маркшейдер
Бурение и добыча;Инженер по бурению скважин (инженер-технолог)
Бурение и добыча;Инженер по морскому бурению скважин (инженер-технолог)
Бурение и добыча;Инженер по ремонту скважин
Бурение и добыча;Супервайзер по бурению
Бурение и добыча;Бурильщик эксплуатационного и разведочного бурения
Бурение и добыча;Машинист буровых установок
Бурение и добыча;Помощник бурильщика
Бурение и добыча;Слесарь по обслуживанию буровых установок
Бурение и добыча;Электромонтер по обслуживанию бурового оборудования
Бурение и добыча;Вышкомонтажник
Бурение и добыча;Инженер-энергетик
Бурение и добыча;Инженер КИПиА
Бурение и добыча;Инженер по охране окружающей среды (эколог)
Бурение и добыча;Инженер по промышленной безопасности
Бурение и добыча;Специалист по инженерным изысканиям
Бурение и добыча;Оператор по добыче нефти и газа
Бурение и добыча;Технолог по добыче нефти и газа
Бурение и добыча;Лаборант химического анализа (химик-технолог)
Бурение и добыча;Оператор товарный
Бурение и добыча;Оператор по подземному ремонту скважин
Бурение и добыча;Бурильщик капитального ремонта скважин
Бурение и добыча;Машинист технологических насосов
Бурение и добыча;Машинист подъемника
Бурение и добыча;Слесарь по обслуживанию буровых установок
Бурение и добыча;Электромонтер по обслуживанию бурового оборудования
Бурение и добыча;Специалист по строительному контролю
Бурение и добыча;Инженер-энергетик
Бурение и добыча;Инженер КИПиА
Бурение и добыча;Инженер по охране окружающей среды (эколог)
Бурение и добыча;Инженер по промышленной безопасности
Переработка;Инженер-технолог (технолог по нефтепереработке)
Переработка;Оператор технологических установок НПЗ
Переработка;Лаборант химического анализа (химик-технолог)
Переработка;Диспетчер нефтеперерабатывающего производства
Переработка;Слесарь по эксплуатации и ремонту установок НПЗ
Переработка;Оператор товарный
Переработка;Инженер-энергетик
Переработка;Инженер КИПиА
Переработка;Электромонтер по ремонту и обслуживанию электрооборудования
Переработка;Инженер по охране окружающей среды (эколог)
Переработка;Инженер по промышленной безопасности
Транспортировка, хранение и сбыт;Специалист по транспортировке нефтепродуктов
Транспортировка, хранение и сбыт;Оператор товарный
Транспортировка, хранение и сбыт;Специалист по эксплуатации нефте-газотранспортного оборудования
Транспортировка, хранение и сбыт;Специалист по управлению балансами и поставками нефти и газа
Транспортировка, хранение и сбыт;Дефектоскопист нефтепроводов
Транспортировка, хранение и сбыт;Оператор АЗС
Транспортировка, хранение и сбыт;Водитель спецтранспорта
Транспортировка, хранение и сбыт;Трубопроводчик линейный
Транспортировка, хранение и сбыт;Оператор складских комплексов
Транспортировка, хранение и сбыт;Специалист по логистике
Транспортировка, хранение и сбыт;Инженер-энергетик
Транспортировка, хранение и сбыт;Инженер КИПиА
Транспортировка, хранение и сбыт;Электромонтер по ремонту и обслуживанию электрооборудования
Транспортировка, хранение и сбыт;Инженер по охране окружающей среды (эколог)
Транспортировка, хранение и сбыт;Инженер по промышленной безопасности
Офис;Менеджер нефтегазовых проектов
Офис;Аналитик данных
Офис;Метролог
Офис;Бизнес-аналитик
Офис;Маркетолог (маркетолог-аналитик)
Офис;Специалист по обучению персонала
Офис;Специалист по HR
Офис;Специалист по закупкам
Офис;Юрист (нефтегазовое право)
Офис;Экономист
Офис;Финансовый аналитик
Офис;Специалист по PR
Офис;Специалист по моделированию месторождений нефти и газа
Офис;Научный сотрудник
Офис;Инженер-исследователь
Офис;Разработчик программных продуктов
Возможные профессии будущего;оператор БПЛА
Возможные профессии будущего;специалист по дистанционному зондированию земли
Возможные профессии будущего;оператор мобильной робототехники
Возможные профессии будущего;оператор установок аддитивного производства
Возможные профессии будущего;оператор систем промышленного интернета вещей
Возможные профессии будущего;разработчик приложений дополненной и виртуальной реальности
Возможные профессии будущего;специалист по голосовым и жестовым интерфейсам (носимым устройствам)
Возможные профессии будущего;оператор автономных энергоустановок
Возможные профессии будущего;специалист по анализу данных и предиктивной аналитике
Возможные профессии будущего;специалист по производственной видеоаналитике
Возможные профессии будущего;оператор установок СПГ
Возможные профессии будущего;специалист по роботизации бизнес-процессов
Возможные профессии будущего;координатор распределенных проектных команд
Возможные профессии будущего;разработчик цифровых двойников месторождений (нефтегазовых промыслов)
Возможные профессии будущего;инженер-технолог по разработке трудноизвлекаемых запасов нефти
Возможные профессии будущего;геолог шельфовых и глубоководных месторождений нефти
Возможные профессии будущего;специалист по устойчивому развитию
