name;specialties
Южно-Российский государственный политехнический университет им. М.И. Платова;
Югорский государственный университет;
Ухтинский государственный технический университет;
Уфимский государственный нефтяной технический университет;Проектирование, эксплуатация и обслуживание объектов транспорта и хранения
Удмуртский государственный университет;
Тюменский государственный нефтегазовый университет;
Сибирский федеральный университет;Проектирование объектов нефтегазового комплекса
Сибирский федеральный университет;Бурение нефтяных и газовых скважин
Сибирский федеральный университет;Геология нефти и газа
Сибирский федеральный университет;Геофизика
Сибирский федеральный университет;Оборудование нефтяных и газовых промыслов
Сибирский федеральный университет;Проектирование и эксплуатации газонефтепроводов 
Северо-Кавказский федеральный университет;
Северо-Восточный федеральный университет имени М.К. Аммосова;Бурение нефтяных и газовых скважин
Северо-Восточный федеральный университет имени М.К. Аммосова;Эксплуатация и обслуживание объектов транспорта, хранения и продуктов переработки
Северный (Арктический) федеральный университет;
Сахалинский государственный университет;
Саратовский государственный университет имени Н.Г. Чернышевского;
Санкт-Петербургский государственный технологический институт;
Санкт-Петербургский государственный университет;
Санкт-Петербургский Академический университет - научно-образовательный центр нанотехнологий РАН;
Самарский государственный технический университет;Бурение нефтяных и газовых скважин
Самарский государственный технический университет;Цифровые технологии в нефтегазовой отрасли
Самарский государственный технический университет;Эксплуатация и обслуживание объектов добычи нефти
Самарский государственный технический университет;Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработки
Рязанский государственный радиотехнический университет;
Российский экономический университет имени Г.В. Плеханова;Химические технологии переработки нефти и газа
Российский экономический университет имени Г.В. Плеханова; Монтаж и эксплуатация оборудования и систем газоснабжения
Российский экономический университет имени Г.В. Плеханова;Геология и геохимия горючих ископаемых
Российский экономический университет имени Г.В. Плеханова;Управление персоналом организации в нефтегазовой отрасли
Российский экономический университет имени Г.В. Плеханова;Проектирование, строительство, эксплуатация газотранспортных и газораспределительных систем
Российский экономический университет имени Г.В. Плеханова;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
Российский экономический университет имени Г.В. Плеханова;Разработка и эксплуатация нефтяных и газовым месторождений
Российский государственный университет нефти и газа имени И.М. Губкина;Бурение нефтяных и газовых скважин
Российский государственный университет нефти и газа имени И.М. Губкина;Эксплуатация и обслуживание объектов добычи нефти
Российский государственный университет нефти и газа имени И.М. Губкина;Эксплуатация и обслуживание объектов добычи газа, газоконденсата и подземных хранилищ
Российский государственный университет нефти и газа имени И.М. Губкина;Геоэкология
Российский государственный университет нефти и газа имени И.М. Губкина;Геологическое моделирование месторождений углеводородов
Российский государственный университет нефти и газа имени И.М. Губкина;6. Геология природных резервуаров нефти и газа
Российский государственный университет нефти и газа имени И.М. Губкина;Сооружение и ремонт газонефтепроводов и газонефтехранилищ
Российский государственный университет нефти и газа имени И.М. Губкина;Сооружение и ремонт газонефтепроводов и газонефтехранилищ
Российский государственный университет нефти и газа имени И.М. Губкина;Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработки
Национальный минерально-сырьевой университет “Горный”;
Национальный исследовательский Томский политехнический университет;
Омский государственный университет;
Московский физико-технический институт;"Моделирование нефтегазовых месторождений;"
Московский физико-технический институт;"Геология поиска и разведки;"
Московский физико-технический институт;"Экономика и проблемы экологии нефтегазового комплекса;"
Московский физико-технический институт;"Анализ рисков при размещении газопроводов на эстакадах на территории компрессорных станций;"
Московский физико-технический институт;Численное моделирование распределения остаточной нефтенасыщенности в неоднородных заводненных пластах.
Московский государственный университет имени М.В. Ломоносова;
Московский политехнический университет;
Московский государственный институт международных отношений;Экономические стратегии международных нефтегазовых компаний -> Глобальная энергетическая политика и энергетическая безопасность
Морской государственный университет имени адмирала Г.И. Невельского;
Кубанский государственный университет;
Кубанский государственный технологический университет;
Комсомольский-на-Амуре государственный технический университет;
Амурский институт железнодорожного транспорта;
Казанский государственный технологический университет;
Казанский федеральный университет;"Техносферная безопасность: Охрана труда;"
Казанский федеральный университет;"Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;"
Казанский федеральный университет;Бурение горизонтальных нефтяных и газовых скважин в осложненных условиях
Казанский федеральный университет;Гидродинамическое моделирование для оптимизации системы разработки месторождения, повышения нефтеотдачи и снижения затрат
Казанский федеральный университет;Разработка и эксплуатация нефтяных и газовых месторождений, методы повышения нефтеотдачи
Казанский федеральный университет;"Инженерная геология и гидрогеология;"
Казанский федеральный университет;Экономика, менеджмент и финансы в нефтегазовой отрасли
Казанский федеральный университет;Маркшейдерское дело
Казанский федеральный университет;Геофизика: Сейсморазведка
Казанский федеральный университет;Геонавигационное сопровождение в процессе бурения
Национальный исследовательский Иркутский государственный технический университет;
Дальневосточный федеральный университет;"Сооружение и ремонт объектов систем трубопроводного транспорта;"
Дальневосточный федеральный университет;Инновационные технологии в транспорте и хранении углеводородного сырья
Дагестанский государственный технический университет;
Дальневосточный государственный технический университет;
Дальневосточный государственный университет путей сообщения;
Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;
Государственный университет морского и речного флота имени адмирала С.О. Макарова;
Ангарская государственная техническая академия;
Архангельский государственный технический университет;
Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова;
Поволжский государственный технологический университет;
Альметьевский государственный нефтяной институт;
Тамбовский государственный университет;
Ижевский государственный технический университет им. М.Т. Калашникова;
Российский университет дружбы народов;
Российский государственный геологоразведочный университет им. С. Орджоникидзе;
Санкт-Петербургский Горный университет;
Нижегородский государственный технический университет им. Р.Е. Алексеева;
Пермский национальный исследовательский политехнический университет;
Воронежский государственный технический университет;
Саратовский государственный технический университет им. Гагарина Ю.А.;
Владивостокский государственный университет;
Томский государственный архитектурно-строительный университет;
Астраханский государственный технический университет;
Тюменский индустриальный университет;"Проектирование и мониторинг разработки месторождений нефти и газа;"
Тюменский индустриальный университет;Анализ и и прогнозирование добычи углеводородов
Тюменский индустриальный университет;Геологическое моделирование
Тюменский индустриальный университет;Геомеханическое моделирование
Тюменский индустриальный университет;Сопровождение бурения и эксплуатации скважин сложной конструкции
Тюменский индустриальный университет;Концептуальное проектирование
Тюменский индустриальный университет;Разработка программного обеспечения и автоматизация рутинных процессов
